2025-03-16 18:14:27 | ERROR    | dental_scraper.models.validation:validate_procedure_data:60 - Validation failed: ["('code',): String should match pattern '^D\\d{4}$'"]
2025-03-16 18:14:27 | ERROR    | dental_scraper.models.validation:validate_procedure_data:60 - Validation failed: ["('description',): Field required"]
2025-03-16 18:14:27 | ERROR    | dental_scraper.models.validation:validate_carrier_data:38 - Validation failed: ["('year',): Input should be greater than or equal to 2024"]
2025-03-16 18:14:27 | ERROR    | dental_scraper.models.validation:validate_carrier_data:38 - Validation failed: ["('source_url',): Input should be a valid URL, relative URL without a base"]
2025-03-16 18:14:27 | ERROR    | dental_scraper.models.validation:validate_carrier_data:38 - Validation failed: ["('procedures', 0, 'code'): String should match pattern '^D\\d{4}$'"]
2025-03-16 18:14:27 | ERROR    | dental_scraper.models.validation:validate_procedure_data:60 - Validation failed: ["('code',): String should match pattern '^D\\d{4}$'"]
2025-03-16 18:14:27 | ERROR    | dental_scraper.utils.download_handler:_ensure_download_dir:27 - Error creating download directory: Access denied
2025-03-16 18:14:27 | ERROR    | dental_scraper.utils.download_handler:download_pdf:100 - Error writing PDF file: object bytes can't be used in 'await' expression
2025-03-16 18:14:27 | ERROR    | dental_scraper.utils.download_handler:download_pdf:81 - Failed to download PDF: 404 - https://example.com/test.pdf
2025-03-16 18:14:27 | ERROR    | dental_scraper.utils.download_handler:download_pdf:87 - Invalid content type: text/html - https://example.com/test.pdf
2025-03-16 18:14:27 | ERROR    | dental_scraper.utils.download_handler:download_pdf:100 - Error writing PDF file: object bytes can't be used in 'await' expression
2025-03-16 19:47:33 | ERROR    | dental_scraper.spiders.aetna_spider:parse_pdf:140 - No procedures extracted from aetna_guidelines_20250316.pdf
2025-03-16 21:46:08 | ERROR    | dental_scraper.spiders.base_spider:handle_error:67 - Request failed: Forbidden by robots.txt
2025-03-16 21:50:00 | ERROR    | dental_scraper.spiders.aetna_spider:parse_login_page:73 - Login form not found
